Model,Tokens,Max-Ctx,[gpt4] n_wins,[gpt4] n_draws,[gpt4] win rate,Length,PE,IDD
Claude-100k,100k,100k,96,42,60.94,,x,—
GPT4-32k,32k,32k,76,56,54.16,,x,—
ada-turbo-0613 (Ret.),4k,4k,61,56,46.84,,x,—
bm25-turbo-0613 (Ret.),4k,4k,50,69,44.01,,x,—
llama2-13b-chat,4k,4k,51,61,42.44,,x,—
llama2-7b-chat,4k,4k,48,58,40.10,,x,—
longchat-13b-16k,16k,16k,36,59,34.11,,x,x
longchat-7b-16k,16k,16k,36,56,33.68,,x,x
vicuna1.3-7b,8k,8k,29,55,29.42,,x,x
xgen-7b-8k,2k,2k,24,62,28.64,,x,x
chatglm2-6b-8k,8k,8k,18,64,26.04,,-,-