Model,Tokens,Max-Ctx,gov_report,news,patent,tv_show,paper_assistant,review,meeting,ROUGE avg,PE,IDD
turbo-16k-0613,16k,16k,23.6,16.1,29.3,16.9,18.6,18.6,19.3,20.3,x,—
ada-turbo-0613 (Ret.),4k,4k,20.8,15.4,27.6,15.2,17.3,18.9,20.8,19.4,x,—
bm25-turbo-0613 (Ret.),4k,4k,21.5,16.8,27.1,15.4,21.2,18.1,20.6,20.1,x,—
llama2-13b-chat,4k,4k,24.0,16.3,30.3,17.2,18.4,19.2,19.6,20.7,x,—
llama2-7b-chat,4k,4k,22.2,15.5,31.6,15.6,18.0,18.9,19.3,20.1,x,—
longchat-13b-16k,16k,16k,24.1,15.8,29.8,17.3,16.4,17.0,16.3,19.5,x,x
xgen-7b-8k,8k,8k,21.1,15.3,29.2,15.2,17.9,19.1,19.1,19.5,x,x
chatglm2-6b-8k,8k,8k,21.5,15.1,31.4,14.5,17.3,18.9,15.8,19.2,x,—
vicuna1.3-7b,2k,2k,23.2,14.8,28.8,14.8,17.3,18.9,15.8,19.0,x,x
longchat-7b-16k,16k,16k,23.9,13.4,30.1,14.7,16.7,17.0,13.2,18.4,x,x